gene_id,cluster,species,resistant_phenotype,product
fig|562.135570.peg.4513,0,Escherichia coli,Resistant,Allantoinase (EC 3.5.2.5)
fig|562.135570.peg.4538,1,Escherichia coli,Resistant,Outer membrane channel TolC (OpmH)
fig|562.135570.peg.4543,2,Escherichia coli,Resistant,DNA topoisomerase IV subunit B (EC 5.99.1.3)
fig|562.135570.peg.4562,2,Escherichia coli,Resistant,X polypeptide
fig|562.135570.peg.4569,1,Escherichia coli,Resistant,Outer-membrane-phospholipid-binding lipoprotein MlaA
fig|562.135570.peg.4607,2,Escherichia coli,Resistant,PapI protein
fig|562.135570.peg.464,3,Escherichia coli,Resistant,Spermidine export protein MdtI
fig|562.135570.peg.465,3,Escherichia coli,Resistant,Spermidine export protein MdtJ
fig|562.135570.peg.4657,2,Escherichia coli,Resistant,Biosynthetic arginine decarboxylase (EC 4.1.1.19)
fig|562.135570.peg.4658,2,Escherichia coli,Resistant,hypothetical protein
fig|562.135570.peg.4661,2,Escherichia coli,Resistant,Transketolase (EC 2.2.1.1)
fig|562.135570.peg.4669,0,Escherichia coli,Resistant,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
fig|562.135570.peg.4679,1,Escherichia coli,Resistant,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)"
fig|562.135570.peg.4680,1,Escherichia coli,Resistant,"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE"
fig|562.135570.peg.4690,0,Escherichia coli,Resistant,Dihydrofolate reductase (EC 1.5.1.3)
fig|562.135570.peg.4692,2,Escherichia coli,Resistant,Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)
fig|562.135570.peg.4697,0,Escherichia coli,Resistant,bleomycin resistance protein
fig|562.135570.peg.4698,2,Escherichia coli,Resistant,Subclass B1 beta-lactamase (EC 3.5.2.6) => NDM family
fig|562.135570.peg.4702,2,Escherichia coli,Resistant,Capsular polysaccharide export system protein KpsS
fig|562.135570.peg.4703,0,Escherichia coli,Resistant,Capsular polysaccharide export system protein KpsC
fig|562.135570.peg.4704,0,Escherichia coli,Resistant,3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)
fig|562.135570.peg.4705,1,Escherichia coli,Resistant,Capsular polysaccharide export system periplasmic protein KpsD
fig|562.135570.peg.4706,1,Escherichia coli,Resistant,Capsular polysaccharide export system inner membrane protein KpsE
fig|562.135570.peg.4707,0,Escherichia coli,Resistant,D-arabinose-5-phosphate isomerase (EC 5.3.1.13)
fig|562.135570.peg.4726,0,Escherichia coli,Resistant,Dihydrofolate reductase (EC 1.5.1.3)
fig|562.135570.peg.4727,3,Escherichia coli,Resistant,"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"
fig|562.135570.peg.4728,0,Escherichia coli,Resistant,Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein
fig|562.135570.peg.4742,0,Escherichia coli,Resistant,VgrG protein
fig|562.135570.peg.4752,0,Escherichia coli,Resistant,Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)
fig|562.135570.peg.4777,2,Escherichia coli,Resistant,Ankyrin-repeat protein A
fig|562.135570.peg.4781,2,Escherichia coli,Resistant,Homoserine O-succinyltransferase (EC 2.3.1.46)
fig|562.135570.peg.4789,2,Escherichia coli,Resistant,FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)
fig|562.135570.peg.4824,0,Escherichia coli,Resistant,Universal stress protein F
fig|562.135570.peg.4825,1,Escherichia coli,Resistant,"Manganese ABC transporter, periplasmic-binding protein SitA"
fig|562.135570.peg.4826,0,Escherichia coli,Resistant,"Manganese ABC transporter, ATP-binding protein SitB"
fig|562.135570.peg.4841,2,Escherichia coli,Resistant,Ankyrin-repeat protein A
fig|562.135570.peg.4845,2,Escherichia coli,Resistant,Uncharacterized protein YhiJ
fig|562.135570.peg.4903,2,Escherichia coli,Resistant,General secretion pathway protein K
fig|562.135570.peg.4904,2,Escherichia coli,Resistant,General secretion pathway protein L
fig|562.135570.peg.4905,2,Escherichia coli,Resistant,General secretion pathway protein L
fig|562.135570.peg.4906,2,Escherichia coli,Resistant,General secretion pathway protein M
fig|562.135570.peg.4907,3,Escherichia coli,Resistant,"Capsular polysaccharide ABC transporter, permease protein KpsM"
fig|562.135570.peg.4920,0,Escherichia coli,Resistant,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)
fig|562.135570.peg.4928,2,Escherichia coli,Resistant,Pentapeptide repeat family protein
fig|562.135570.peg.4944,2,Escherichia coli,Resistant,hypothetical protein
fig|562.135570.peg.4954,0,Escherichia coli,Resistant,hypothetical protein
fig|562.135570.peg.4960,1,Escherichia coli,Resistant,PapF protein
fig|562.135570.peg.4961,1,Escherichia coli,Resistant,PapE protein
fig|562.135570.peg.4986,2,Escherichia coli,Resistant,Macrolide 2'-phosphotransferase => Mph(A) family
fig|562.135570.peg.4987,3,Escherichia coli,Resistant,hypothetical protein
fig|562.135570.peg.5002,2,Escherichia coli,Resistant,Translation elongation factor Tu
fig|562.135570.peg.5056,3,Escherichia coli,Resistant,Formate efflux transporter FocA
fig|562.135570.peg.5057,2,Escherichia coli,Resistant,Pyruvate formate-lyase (EC 2.3.1.54)
fig|562.135570.peg.5065,2,Escherichia coli,Resistant,Phage protein YdfU family
fig|562.135570.peg.5074,1,Escherichia coli,Resistant,Class C beta-lactamase (EC 3.5.2.6) => CMY/CMY-2/CFE/LAT family
fig|562.135570.peg.5081,2,Escherichia coli,Resistant,IncF plasmid conjugative transfer surface exclusion protein TraT
fig|562.135570.peg.5089,2,Escherichia coli,Resistant,hypothetical protein
fig|562.135570.peg.509,0,Escherichia coli,Resistant,Transcriptional regulator SlyA
fig|562.135570.peg.5109,1,Escherichia coli,Resistant,Periplasmic thiol:disulfide interchange protein DsbA
fig|562.135570.peg.5145,0,Escherichia coli,Resistant,VgrG protein
fig|562.135570.peg.5147,2,Escherichia coli,Resistant,T6SS component Hcp
fig|562.135570.peg.5153,2,Escherichia coli,Resistant,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
fig|562.135570.peg.5154,2,Escherichia coli,Resistant,"UDP-galactose:(galactosyl) LPS alpha1,2-galactosyltransferase WaaW (EC 2.4.1.-)"
fig|562.135570.peg.5181,2,Escherichia coli,Resistant,Protein RhsB
fig|562.135570.peg.5183,2,Escherichia coli,Resistant,hypothetical protein
fig|562.135570.peg.5185,0,Escherichia coli,Resistant,Type 1 fimbriae regulatory protein FimB
fig|562.135570.peg.521,0,Escherichia coli,Resistant,Monothiol glutaredoxin GrxD
fig|562.135570.peg.5217,2,Escherichia coli,Resistant,Major curlin subunit precursor CsgA
fig|562.135570.peg.5218,2,Escherichia coli,Resistant,"Minor curlin subunit CsgB, nucleation component of curlin monomers"
fig|562.135570.peg.523,2,Escherichia coli,Resistant,Superoxide dismutase [Fe] (EC 1.15.1.1)
fig|562.135570.peg.5254,2,Escherichia coli,Resistant,Translation elongation factor Tu
fig|562.135570.peg.5304,2,Escherichia coli,Resistant,VgrG protein
fig|562.135570.peg.5333,2,Escherichia coli,Resistant,Protein RhsD
fig|562.135570.peg.540,2,Escherichia coli,Resistant,Uncharacterized ferredoxin-like protein YdhY
fig|562.135570.peg.546,2,Escherichia coli,Resistant,"N,N'-diacetylchitobiose-specific 6-phospho-beta-glucosidase (EC 3.2.1.86)"
fig|562.135570.peg.550,0,Escherichia coli,Resistant,"PTS system, N,N'-diacetylchitobiose-specific IIB component (EC 2.7.1.196)"
fig|562.135570.peg.56,0,Escherichia coli,Resistant,DNA-binding capsular synthesis response regulator RcsB
fig|562.135570.peg.577,0,Escherichia coli,Resistant,Putative NAD(P)H nitroreductase YdjA
fig|562.135570.peg.619,0,Escherichia coli,Resistant,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
fig|562.135570.peg.63,0,Escherichia coli,Resistant,"ABC-type siderophore export system, fused ATPase and permease components"
fig|562.135570.peg.699,3,Escherichia coli,Resistant,"Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum"
fig|562.135570.peg.708,0,Escherichia coli,Resistant,Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)
fig|562.135570.peg.725,0,Escherichia coli,Resistant,4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore
fig|562.135570.peg.726,1,Escherichia coli,Resistant,"TonB-dependent receptor; Outer membrane receptor for ferric enterobactin and colicins B, D"
fig|562.135570.peg.728,2,Escherichia coli,Resistant,Enterobactin esterase
fig|562.135570.peg.731,2,Escherichia coli,Resistant,Ferric enterobactin uptake protein FepE
fig|562.135570.peg.732,0,Escherichia coli,Resistant,Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)
fig|562.135570.peg.733,3,Escherichia coli,Resistant,Ferric enterobactin transport system permease protein FepG (TC 3.A.1.14.2)
fig|562.135570.peg.734,3,Escherichia coli,Resistant,Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)
fig|562.135570.peg.735,3,Escherichia coli,Resistant,Enterobactin exporter EntS
fig|562.135570.peg.736,1,Escherichia coli,Resistant,Ferric enterobactin-binding periplasmic protein FepB (TC 3.A.1.14.2)
fig|562.135570.peg.737,0,Escherichia coli,Resistant,Isochorismate synthase (EC 5.4.4.2) @ Isochorismate synthase (EC 5.4.4.2) [enterobactin] siderophore @ Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis
fig|562.135570.peg.738,0,Escherichia coli,Resistant,"2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis"
fig|562.135570.peg.739,0,Escherichia coli,Resistant,Isochorismatase (EC 3.3.2.1) [enterobactin] siderophore / Apo-aryl carrier domain of EntB @ Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis
fig|562.135570.peg.740,0,Escherichia coli,Resistant,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis"
fig|562.135570.peg.742,2,Escherichia coli,Resistant,Carbon starvation protein A
fig|562.135570.peg.762,0,Escherichia coli,Resistant,[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)
fig|562.135570.peg.764,0,Escherichia coli,Resistant,Tricarboxylate transport transcriptional regulator TctD => Citrate response regulator CitB
fig|562.135570.peg.768,0,Escherichia coli,Resistant,Cold shock protein of CSP family => CspE (naming convention as in E.coli)
fig|562.135570.peg.809,1,Escherichia coli,Resistant,"Type-1 fimbrial protein, A chain"
fig|562.135570.peg.810,1,Escherichia coli,Resistant,Fimbrin-like protein FimI
fig|562.135570.peg.811,1,Escherichia coli,Resistant,Chaperone protein FimC
fig|562.135570.peg.812,1,Escherichia coli,Resistant,Outer membrane usher protein FimD
fig|562.135570.peg.813,1,Escherichia coli,Resistant,Protein FimF (regulates length and adhesion of type 1 fimbriae)
fig|562.135570.peg.814,1,Escherichia coli,Resistant,Protein FimG (regulates length and adhesion of type 1 fimbriae)
fig|562.135570.peg.815,2,Escherichia coli,Resistant,"Protein FimH (regulates length and adhesion of type 1 fimbriae, and mediates mannose binding)"
fig|562.135570.peg.861,2,Escherichia coli,Resistant,Putative regulatory protein
fig|562.135570.peg.876,2,Escherichia coli,Resistant,hypothetical protein
fig|562.135570.peg.914,0,Escherichia coli,Resistant,Multiple antibiotic resistance protein MarA
fig|562.135570.peg.915,0,Escherichia coli,Resistant,Multiple antibiotic resistance protein MarR
fig|562.135570.peg.918,2,Escherichia coli,Resistant,Uncharacterized protein YneK
fig|562.135570.peg.925,2,Escherichia coli,Resistant,UPF0187 protein YneE
fig|562.135570.peg.927,0,Escherichia coli,Resistant,"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase (EC 5.3.1.32)"
fig|562.135570.peg.928,2,Escherichia coli,Resistant,"3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase (EC 2.3.1.245)"
fig|562.135570.peg.950,1,Escherichia coli,Resistant,Outer membrane usher protein FimD
fig|562.135570.peg.952,1,Escherichia coli,Resistant,Type 1 fimbrae adaptor subunit FimG
fig|562.135570.peg.954,2,Escherichia coli,Resistant,Putative formate dehydrogenase oxidoreductase protein
fig|562.135570.peg.959,2,Escherichia coli,Resistant,ABC transporter ATP-binding protein YddA
fig|562.135571.peg.1,0,Escherichia coli,Resistant,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
fig|562.135571.peg.1019,0,Escherichia coli,Resistant,Phosphate transport system regulatory protein PhoU
fig|562.135571.peg.1033,3,Escherichia coli,Resistant,Multidrug efflux pump MdtL (of MFS type)
fig|562.135571.peg.1043,2,Escherichia coli,Resistant,DNA gyrase subunit B (EC 5.99.1.3)
fig|562.135571.peg.1055,0,Escherichia coli,Resistant,16 kDa heat shock protein A
fig|562.135571.peg.1056,0,Escherichia coli,Resistant,16 kDa heat shock protein B
fig|562.135571.peg.106,0,Escherichia coli,Resistant,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA (EC 1.3.1.1)
fig|562.135571.peg.1070,3,Escherichia coli,Resistant,Multidrug efflux pump EmrD (of MFS type)
fig|562.135571.peg.1078,3,Escherichia coli,Resistant,Hexose phosphate transport protein UhpT
fig|562.135571.peg.108,0,Escherichia coli,Resistant,"Galactose/methyl galactoside ABC transporter, ATP-binding protein MglA (EC 3.6.3.17)"
fig|562.135571.peg.1097,0,Escherichia coli,Resistant,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II"
fig|562.135571.peg.1118,0,Escherichia coli,Resistant,"UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG"
fig|562.135571.peg.1119,2,Escherichia coli,Resistant,Lipopolysaccharide core heptose(I) kinase RfaP
fig|562.135571.peg.1131,0,Escherichia coli,Resistant,UDP-glucuronate:LPS(HepIII) glycosyltransferase WaaH
fig|562.135571.peg.1167,0,Escherichia coli,Resistant,"Maltodextrin ABC transporter, ATP-binding protein MsmX"
fig|562.135571.peg.1176,2,Escherichia coli,Resistant,Uncharacterized glycosyltransferase YcjM
fig|562.135571.peg.12,0,Escherichia coli,Resistant,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)"
fig|562.135571.peg.1204,2,Escherichia coli,Resistant,Translation initiation factor SUI1-related protein
fig|562.135571.peg.1215,0,Escherichia coli,Resistant,Cys regulon transcriptional activator CysB
fig|562.135571.peg.1227,2,Escherichia coli,Resistant,Tryptophan synthase beta chain (EC 4.2.1.20)
fig|562.135571.peg.1230,0,Escherichia coli,Resistant,Stress response diiron-containing protein YciF
fig|562.135571.peg.1236,1,Escherichia coli,Resistant,"TonB-ExbBD energy transducing system, TonB subunit"
fig|562.135571.peg.1311,2,Escherichia coli,Resistant,DNA-binding protein H-NS
fig|562.135571.peg.1312,0,Escherichia coli,Resistant,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
fig|562.135571.peg.1333,2,Escherichia coli,Resistant,2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)
fig|562.135571.peg.1345,0,Escherichia coli,Resistant,GTP-binding and nucleic acid-binding protein YchF
fig|562.135571.peg.1354,2,Escherichia coli,Resistant,Translation elongation factor Tu
fig|562.135571.peg.1362,1,Escherichia coli,Resistant,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)
fig|562.135571.peg.1364,0,Escherichia coli,Resistant,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)
fig|562.135571.peg.1373,0,Escherichia coli,Resistant,Cyclic AMP receptor protein
fig|562.135571.peg.14,0,Escherichia coli,Resistant,Colanic acid biosynthesis glycosyl transferase WcaE
fig|562.135571.peg.1402,0,Escherichia coli,Resistant,Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)
fig|562.135571.peg.1421,0,Escherichia coli,Resistant,Osmolarity sensory histidine kinase EnvZ
fig|562.135571.peg.1422,0,Escherichia coli,Resistant,Two-component system response regulator OmpR
fig|562.135571.peg.1453,2,Escherichia coli,Resistant,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
fig|562.135571.peg.1518,2,Escherichia coli,Resistant,Uncharacterized protein YhiJ
fig|562.135571.peg.1558,2,Escherichia coli,Resistant,Type IV pilin PilA
fig|562.135571.peg.1580,1,Escherichia coli,Resistant,Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)
fig|562.135571.peg.1589,0,Escherichia coli,Resistant,LysR family transcriptional activator LeuO
fig|562.135571.peg.1611,1,Escherichia coli,Resistant,Periplasmic chaperone and peptidyl-prolyl cis-trans isomerase of outer membrane proteins SurA (EC 5.2.1.8)
fig|562.135571.peg.1635,2,Escherichia coli,Resistant,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
fig|562.135571.peg.1636,2,Escherichia coli,Resistant,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
fig|562.135571.peg.1646,2,Escherichia coli,Resistant,hypothetical protein
fig|562.135571.peg.1661,2,Escherichia coli,Resistant,core protein
fig|562.135571.peg.1668,0,Escherichia coli,Resistant,DNA-binding response regulator KdpE
fig|562.135571.peg.1677,0,Escherichia coli,Resistant,Ferric uptake regulation protein FUR
fig|562.135571.peg.172,0,Escherichia coli,Resistant,"ABC-type siderophore export system, fused ATPase and permease components"
fig|562.135571.peg.1731,0,Escherichia coli,Resistant,Cold shock protein of CSP family => CspE (naming convention as in E.coli)
fig|562.135571.peg.1734,0,Escherichia coli,Resistant,Tricarboxylate transport transcriptional regulator TctD => Citrate response regulator CitB
fig|562.135571.peg.1736,0,Escherichia coli,Resistant,[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)
fig|562.135571.peg.1757,2,Escherichia coli,Resistant,Carbon starvation protein A
fig|562.135571.peg.1759,0,Escherichia coli,Resistant,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis"
fig|562.135571.peg.1760,0,Escherichia coli,Resistant,Isochorismatase (EC 3.3.2.1) [enterobactin] siderophore / Apo-aryl carrier domain of EntB @ Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis
fig|562.135571.peg.1761,0,Escherichia coli,Resistant,"2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis"
fig|562.135571.peg.1762,0,Escherichia coli,Resistant,Isochorismate synthase (EC 5.4.4.2) @ Isochorismate synthase (EC 5.4.4.2) [enterobactin] siderophore @ Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis
fig|562.135571.peg.1763,1,Escherichia coli,Resistant,Ferric enterobactin-binding periplasmic protein FepB (TC 3.A.1.14.2)
fig|562.135571.peg.1764,3,Escherichia coli,Resistant,Enterobactin exporter EntS
fig|562.135571.peg.1765,3,Escherichia coli,Resistant,Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)
fig|562.135571.peg.1766,3,Escherichia coli,Resistant,Ferric enterobactin transport system permease protein FepG (TC 3.A.1.14.2)
fig|562.135571.peg.1767,0,Escherichia coli,Resistant,Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)
fig|562.135571.peg.1768,2,Escherichia coli,Resistant,Ferric enterobactin uptake protein FepE
fig|562.135571.peg.1771,2,Escherichia coli,Resistant,Enterobactin esterase
fig|562.135571.peg.1773,1,Escherichia coli,Resistant,"TonB-dependent receptor; Outer membrane receptor for ferric enterobactin and colicins B, D"
fig|562.135571.peg.1774,0,Escherichia coli,Resistant,4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore
fig|562.135571.peg.1781,0,Escherichia coli,Resistant,Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34)
fig|562.135571.peg.1787,1,Escherichia coli,Resistant,"Copper/silver efflux RND transporter, outer membrane protein CusC"
fig|562.135571.peg.179,0,Escherichia coli,Resistant,DNA-binding capsular synthesis response regulator RcsB
fig|562.135571.peg.1790,0,Escherichia coli,Resistant,VgrG protein
fig|562.135571.peg.1795,2,Escherichia coli,Resistant,Low-affinity inorganic phosphate transporter
fig|562.135571.peg.1828,2,Escherichia coli,Resistant,DNA topoisomerase IV subunit A (EC 5.99.1.3)
fig|562.135571.peg.1839,2,Escherichia coli,Resistant,DNA topoisomerase IV subunit B (EC 5.99.1.3)
fig|562.135571.peg.1844,1,Escherichia coli,Resistant,Outer membrane channel TolC (OpmH)
fig|562.135571.peg.186,2,Escherichia coli,Resistant,DNA gyrase subunit A (EC 5.99.1.3)
fig|562.135571.peg.1864,3,Escherichia coli,Resistant,Undecaprenyl-diphosphatase (EC 3.6.1.27)
fig|562.135571.peg.1880,0,Escherichia coli,Resistant,Putrescine aminotransferase (EC 2.6.1.82)
fig|562.135571.peg.1920,2,Escherichia coli,Resistant,2-ketobutyrate formate-lyase (EC 2.3.1.-) @ Pyruvate formate-lyase (EC 2.3.1.54)
fig|562.135571.peg.1934,2,Escherichia coli,Resistant,Curli production assembly/transport component CsgG
fig|562.135571.peg.1935,2,Escherichia coli,Resistant,Curli production assembly/transport component CsgF
fig|562.135571.peg.1936,2,Escherichia coli,Resistant,Curli production assembly/transport component CsgE
fig|562.135571.peg.1937,0,Escherichia coli,Resistant,Transcriptional regulator CsgD for 2nd curli operon
fig|562.135571.peg.1939,2,Escherichia coli,Resistant,"Minor curlin subunit CsgB, nucleation component of curlin monomers"
fig|562.135571.peg.1940,2,Escherichia coli,Resistant,Major curlin subunit precursor CsgA
fig|562.135571.peg.1941,2,Escherichia coli,Resistant,Putative curli production protein CsgC
fig|562.135571.peg.195,3,Escherichia coli,Resistant,Glycerol-3-phosphate transporter
fig|562.135571.peg.1952,3,Escherichia coli,Resistant,Multidrug resistance protein MdtG
fig|562.135571.peg.1965,3,Escherichia coli,Resistant,Multidrug resistance protein MdtH
fig|562.135571.peg.1974,1,Escherichia coli,Resistant,Flagellar basal-body rod protein FlgC
fig|562.135571.peg.1978,1,Escherichia coli,Resistant,Flagellar basal-body rod protein FlgG
fig|562.135571.peg.1979,1,Escherichia coli,Resistant,Flagellar L-ring protein FlgH
fig|562.135571.peg.2015,0,Escherichia coli,Resistant,Transcription-repair coupling factor
fig|562.135571.peg.2031,0,Escherichia coli,Resistant,Sensor histidine kinase PhoQ (EC 2.7.13.3)
fig|562.135571.peg.2032,0,Escherichia coli,Resistant,Transcriptional regulatory protein PhoP
fig|562.135571.peg.2054,2,Escherichia coli,Resistant,Uncharacterized outer membrane protein YpjA
fig|562.135571.peg.2067,3,Escherichia coli,Resistant,"Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation"
fig|562.135571.peg.207,0,Escherichia coli,Resistant,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53)
fig|562.135571.peg.208,0,Escherichia coli,Resistant,UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) / UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating) (EC 1.1.1.305)
fig|562.135571.peg.210,3,Escherichia coli,Resistant,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) @ Polymyxin resistance protein PmrK
fig|562.135571.peg.2106,2,Escherichia coli,Resistant,hypothetical protein
fig|562.135571.peg.2121,2,Escherichia coli,Resistant,Putative regulatory protein
fig|562.135571.peg.2159,3,Escherichia coli,Resistant,Multidrug efflux pump MdtM (of MFS type)
fig|562.135571.peg.2181,2,Escherichia coli,Resistant,"Protein FimH (regulates length and adhesion of type 1 fimbriae, and mediates mannose binding)"
fig|562.135571.peg.2182,1,Escherichia coli,Resistant,Protein FimG (regulates length and adhesion of type 1 fimbriae)
fig|562.135571.peg.2183,1,Escherichia coli,Resistant,Protein FimF (regulates length and adhesion of type 1 fimbriae)
fig|562.135571.peg.2184,1,Escherichia coli,Resistant,Outer membrane usher protein FimD
fig|562.135571.peg.2185,1,Escherichia coli,Resistant,Chaperone protein FimC
fig|562.135571.peg.2186,1,Escherichia coli,Resistant,Fimbrin-like protein FimI
fig|562.135571.peg.2187,1,Escherichia coli,Resistant,"Type-1 fimbrial protein, A chain"
fig|562.135571.peg.2188,0,Escherichia coli,Resistant,Type 1 fimbriae regulatory protein FimE
fig|562.135571.peg.2194,1,Escherichia coli,Resistant,"Murein peptide ABC transporter, substrate-binding protein (requires DppBCDF)"
fig|562.135571.peg.2227,0,Escherichia coli,Resistant,Universal stress protein F
fig|562.135571.peg.2258,3,Escherichia coli,Resistant,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|562.135571.peg.2301,0,Escherichia coli,Resistant,Putative oxidoreductase YncB
fig|562.135571.peg.2309,0,Escherichia coli,Resistant,VgrG protein
fig|562.135571.peg.2316,1,Escherichia coli,Resistant,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)"
fig|562.135571.peg.2317,1,Escherichia coli,Resistant,"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE"
fig|562.135571.peg.2318,0,Escherichia coli,Resistant,Probable acrEF/envCD operon repressor EnvR
fig|562.135571.peg.235,2,Escherichia coli,Resistant,NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)
fig|562.135571.peg.2352,0,Escherichia coli,Resistant,Stringent starvation protein A
fig|562.135571.peg.2388,0,Escherichia coli,Resistant,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)
fig|562.135571.peg.2400,0,Escherichia coli,Resistant,Dihydropteroate synthase (EC 2.5.1.15)
fig|562.135571.peg.2416,2,Escherichia coli,Resistant,Uncharacterized protein YjeJ
fig|562.135571.peg.2423,1,Escherichia coli,Resistant,Class C beta-lactamase (EC 3.5.2.6) => BlaEC family
fig|562.135571.peg.2440,0,Escherichia coli,Resistant,RNA-binding protein Hfq
fig|562.135571.peg.2447,0,Escherichia coli,Resistant,3'-to-5' exoribonuclease RNase R
fig|562.135571.peg.2522,0,Escherichia coli,Resistant,"RidA/YER057c/UK114 superfamily, group 7, YjgH-like protein"
fig|562.135571.peg.2541,0,Escherichia coli,Resistant,Transcriptional regulator SlyA
fig|562.135571.peg.2553,0,Escherichia coli,Resistant,Monothiol glutaredoxin GrxD
fig|562.135571.peg.2556,2,Escherichia coli,Resistant,Superoxide dismutase [Fe] (EC 1.15.1.1)
fig|562.135571.peg.2573,2,Escherichia coli,Resistant,Uncharacterized ferredoxin-like protein YdhY
fig|562.135571.peg.2588,3,Escherichia coli,Resistant,UPF0118 inner membrane protein YdiK
fig|562.135571.peg.2593,0,Escherichia coli,Resistant,3-dehydroquinate dehydratase I (EC 4.2.1.10)
fig|562.135571.peg.2609,2,Escherichia coli,Resistant,Putative anti-FlhC(2)FlhD(4) factor YdiV
fig|562.135571.peg.2610,1,Escherichia coli,Resistant,Probable endopeptidase NlpC
fig|562.135571.peg.2621,2,Escherichia coli,Resistant,Putative ankyrin repeat protein B
fig|562.135571.peg.2622,1,Escherichia coli,Resistant,Putative outer membrane protein
fig|562.135571.peg.2653,3,Escherichia coli,Resistant,"Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum"
